URL,Faculty Name,Tab Name,Row Data,Similar Subject
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,indexing agency scopus,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,date publication sep,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals, progressing biometric security concern blowfish algorithm international journal innovative technology exploring engineering ijitee jul  ,Software Engineering
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,additional informationcategoryarticle research journalsole authored co authoredcoauthorauthor name ssridevi rdrsselvititle articleprogressing biometric security concern blowfish algorithmname journalinternational journal innovative technology exploring engineering ijiteevolume noissue nospage nourlhttpswwwijiteeorgindexing agencyscopusdate publicationjul category article research journal sole authored co authored coauthor author name sridevi rdrsselvi title article progressing biometric security concern blowfish algorithm name journal international journal innovative technology exploring engineering ijitee volume  issue  page  url httpswwwijiteeorg indexing agency scopus date publication jul,Software Engineering
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,category article research journal,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,sole authored co authored coauthor,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,author name sridevi rdrsselvi,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,title article progressing biometric security concern blowfish algorithm,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,name journal international journal innovative technology exploring engineering ijitee,Software Engineering
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,volume ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,issue ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,page ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,url httpswwwijiteeorg,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,indexing agency scopus,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Articles in Journals,date publication jul,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,slno type book title chapterarticle isbn month year ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter, conference proceeding novel approach machine reading comprehension using bertbased large language model  jul ,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,additional informationtype bookconference proceedingstype workarticlesole authoredco authoredcoauthoredauthor name snisha varghesegobi rhelen k joysridevi rcynthia trajesh kanna rieeetitle bookproceedings conecct th ieee international conference electronics computing communication technologiestitle bookchapterarticlecase studya novel approach machine reading comprehension using bertbased large language modelsmonthyearjulisbnpages publishing companyinstitutionieee exploreindexing agencyscopuslevelinternational publisher type book conference proceeding type work article sole authoredco authored coauthored author name nisha varghesegobi rhelen k joysridevi rcynthia trajesh kanna rieee title book proceeding conecct th ieee international conference electronics computing communication technology title bookchapterarticlecase study novel approach machine reading comprehension using bertbased large language model monthyear jul isbn  page  publishing companyinstitution ieee explore indexing agency scopus level international publisher,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,type book conference proceeding,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,type work article,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,sole authoredco authored coauthored,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,author name nisha varghesegobi rhelen k joysridevi rcynthia trajesh kanna rieee,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,title book proceeding conecct th ieee international conference electronics computing communication technology,Cloud Computing
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,title bookchapterarticlecase study novel approach machine reading comprehension using bertbased large language model,Machine Learning
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,monthyear jul,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,isbn ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,page ,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,publishing companyinstitution ieee explore,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,indexing agency scopus,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter,level international publisher,No relevant subject found
https://christuniversity.in/computer-science/faculty-details/NjgyOA==/NjI=,Dr  SRIDEVI R,Book Chapter, conference proceeding analysis manufacturing machine failure optimization using replacement year prediction  may ,Machine Learning
